"leukemia_A1"	"leukemia_A2"	"leukemia_A3"	"leukemia_B1"	"leukemia_B2"	"leukemia_B3"
"TRPM5"	3.0807588135432	2.71026900507691	1.28582670760055	1.3672129090534	2.71513345077189	4.22090550463656
"SAA3P"	-0.555232645719669	5.77955312227178	-0.204026326261047	7.31630942747212	1.01932666001718	-0.163257874588571
"TM9SF1"	5.24780795317462	6.92940564850813	5.35081442371162	1.4177889007221	3.68858889567276	8.11988142404087
"CAPN3"	3.10597415260158	2.78135578962247	4.20150775690594	2.03565039368949	-0.958566321266752	4.08867410369534
"LAMB2"	6.18829498727795	-3.83102502776685	1.85835881803886	6.55540454328377	3.87248149072244	3.03859667276581
"CRYBA4"	5.7388229672089	6.08686502135857	-3.62207535197089	7.95589314616067	0.551215867819387	0.663853382449576
"MROH2B"	-1.46366643199588	3.76639629949265	4.45778809414604	4.2462771220287	3.54486746582755	8.88517972956807
"GPRC5D"	4.30189911115413	1.91537778180785	5.36977475304813	2.78442420790467	3.3176968911594	5.57268031206254
"TRBJ2-4"	2.44552907921999	2.53361965450264	6.2246882651631	1.55577119741734	3.09359008111449	8.92102763943361
"SNORA33"	8.98990232945257	-2.14246185462371	0.648595983191853	0.845147307196735	-0.0321845912140342	6.76895297412544
"NECAP1"	5.76334701766616	7.16361181069996	2.99606233802893	2.83388765863065	1.16408069494959	2.97263677817037
"ATP5F1"	3.5023459015136	6.1551374162768	4.34701952434651	4.26995657039273	-0.27049069176999	4.77023501217153
"TECTA"	2.32686250654588	5.89413529488098	1.12028052030993	5.56019372567644	-1.93245233489604	0.970932358569943
"CHST6"	5.09035704325335	-0.77213571567738	-2.10347654408218	2.37002451878347	0.465172641409601	0.95772648911978
"SUMO2P18"	1.84264036298752	2.85050081141534	4.80034811271926	8.27479455911995	3.58824034952175	-0.239891336035076
"C1orf131"	1.31766685935421	3.43248423424037	0.511936626795375	7.53836241828228	0.239531497442782	1.19344283495553
"NTF6A"	2.52319973059505	0.238845671990524	6.05429329007809	5.16983598108581	-0.428776541702119	1.96054110622643
"RNU7-105P"	3.45454153139609	4.40393479457865	4.48819781925488	5.39944534183351	2.84456821706751	6.16720117969817
"RNU6-1216P"	-2.6039035475749	3.65724722391985	7.44041083383802	-3.19245094049096	-0.629785330418896	1.3377440981441
"MIR6858"	4.68818907788758	5.14512002693495	2.07460098117451	4.86985419703253	1.7620649369967	0.113503788408139
"HDGF"	3.86583163724034	0.898044700743944	1.8142090650633	4.14712214476163	5.71102664873515	0.850282427275356
"RN7SL607P"	4.10721334047812	3.91679368950003	-1.73379123367369	5.93254152996462	5.52899901528083	3.28427825829484
"CARD10"	1.6621158110583	4.1009013190071	3.49908800023561	-0.0763529677644188	2.13947443566495	-2.30936074268891
"NUP210P1"	4.80605702064652	0.448100966579332	6.76137934761372	1.27618073120963	5.78488581194644	4.04531901177947
"WNT11"	1.98502476742493	6.03542406856766	1.83757302269295	2.97731638929158	2.88463613404571	3.70143356643982
"NANOGP9"	5.12829573837366	7.86520857078988	-2.1301621989468	4.36666998753873	-1.29098016746086	3.62772509054959
"RNU6-299P"	-0.731102728050698	4.00325054553648	6.27049862858655	4.90874074368307	-0.375890064538546	4.32657081807837
"ZNF606"	4.33487161471599	2.52525561289998	-2.76473424906614	6.63435559948991	2.55899250629885	6.81525401388966
